Date,Adj Close,Close,High,Low,Open,Volume,SP500,DEXJPUS,DEXUSEU,CBBTCUSD,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,Typical_Price,Typical_Price_Return,Returns,Daily_Return
2020-01-03,325.8999938964844,325.8999938964844,329.8599853515625,325.5299987792969,326.7799987792969,3806900.0,3234.85,107.94,1.1173,7335.54,-0.67,0.3,0.0,-0.13,-0.11,0.006,-0.278009,327.09665934244794,-0.3336994867442655,-3.910003662109375,-0.01192615655493423
2020-01-07,330.75,330.75,336.70001220703125,330.29998779296875,336.4700012207031,4703200.0,3237.18,108.53,1.1138,8169.95,-0.19,-0.03,-0.25,-0.13,-0.24,0.006,-0.232068,332.5833333333333,0.43794237194871855,-5.079986572265625,-0.015242236566366252
2020-01-08,339.260009765625,339.260009765625,342.70001220703125,331.04998779296875,331.489990234375,7104500.0,3253.05,109.03,1.1117,8035.08,0.47,-0.16,-0.66,-0.16,-0.18,0.006,-0.221273,337.6700032552083,1.5178641579633556,8.510009765625,0.02540400085758776
2020-01-09,335.6600036621094,335.6600036621094,343.4200134277344,334.6099853515625,342.0,4709300.0,3274.7,109.47,1.1106,7813.78,0.65,-0.71,-0.48,-0.14,0.04,0.006,-0.210773,337.89666748046875,0.06710343881204395,-3.600006103515625,-0.010668050062444756
2020-01-10,329.04998779296875,329.04998779296875,338.5,327.2699890136719,337.1300048828125,4718300.0,3265.35,109.5,1.1119,8183.89,-0.34,-0.27,-0.33,0.04,-0.08,0.006,-0.200564,331.6066589355469,-1.8790626939940935,-6.610015869140625,-0.019889075985881632
2020-01-14,338.69000244140625,338.69000244140625,345.3800048828125,335.5199890136719,344.3999938964844,7199400.0,3283.15,110.05,1.113,8757.18,-0.06,0.47,-0.18,-0.34,-0.05,0.006,-0.158672,339.8633321126302,0.8183697936970269,-0.230010986328125,-0.0006788890062887631
2020-01-15,339.07000732421875,339.07000732421875,343.1700134277344,336.6000061035156,338.67999267578125,5158000.0,3289.29,109.94,1.116,8831.86,0.16,0.27,-0.81,-0.09,-0.17,0.006,-0.145972,339.61334228515625,-0.07358305242046725,0.3800048828125,0.0011213553976530122
2020-01-16,338.6199951171875,338.6199951171875,343.55999755859375,335.8500061035156,343.5,5016000.0,3316.81,110.16,1.1131,8727.22,0.88,0.52,-0.12,0.03,-0.1,0.006,-0.132243,339.3433329264323,-0.07953655448602603,-0.45001220703125,-0.0013280770604673364
2020-01-17,339.6700134277344,339.6700134277344,341.57000732421875,337.3800048828125,341.0,6066500.0,3329.62,110.16,1.1093,8875.81,0.28,-0.63,-0.13,0.23,0.0,0.006,-0.11748,339.5400085449219,0.05794091914692601,1.050018310546875,0.003096077300511091
2020-01-22,326.0,326.0,336.29998779296875,323.6000061035156,332.54998779296875,21730000.0,3321.75,109.93,1.1085,8665.0,0.08,-0.24,0.01,-0.27,0.01,0.006,-0.0350378,328.6333312988281,-2.583242172286404,-12.1099853515625,-0.036473861633477433
2020-01-23,349.6000061035156,349.6000061035156,349.8800048828125,325.010009765625,326.0400085449219,18200300.0,3325.54,109.39,1.1041,8386.63,0.07,-0.07,-0.14,0.28,-0.07,0.006,-0.0186742,341.4966735839844,3.839530363805821,23.600006103515625,0.06989227987324131
2020-01-24,353.1600036621094,353.1600036621094,359.8500061035156,345.8800048828125,348.4599914550781,17939700.0,3295.47,109.31,1.1026,8424.96,-0.97,-0.5,-0.29,0.17,-0.03,0.006,-0.00241613,352.9633382161458,3.302625543494031,3.55999755859375,0.010131561162980418
2020-01-28,348.5199890136719,348.5199890136719,352.3999938964844,342.7799987792969,345.8800048828125,6821600.0,3276.24,109.17,1.1008,9417.64,1.02,-0.13,-0.42,0.16,-0.05,0.006,0.0630295,347.8999938964844,0.759801107745961,5.639984130859375,0.01631503987442695
2020-01-29,343.1600036621094,343.1600036621094,349.3999938964844,338.54998779296875,349.0,7643500.0,3273.4,109.15,1.1004,9270.0,-0.11,-0.43,-0.98,0.26,0.09,0.006,0.0801976,343.7033284505208,-1.2136196631361784,-5.3599853515625,-0.01549876446379006
2020-01-30,347.739990234375,347.739990234375,348.20001220703125,339.25,341.1000061035156,5328100.0,3283.66,108.75,1.1032,9493.61,0.34,-0.65,0.69,-0.45,-0.24,0.006,0.0977463,345.06333414713544,0.3949109438538656,4.579986572265625,0.01325822464003057
